,twitter_id,username,screenname,text,created_at,retweet_count,location,followers,friends,polarity
0,1279290326323257352,SportsCardBOT,SportsCardBOT,"RT @Buydirectsports: #FreeGiveaway #Sports #Collectibles 
@Buydirectsports

1 Winner will #Win these 3 Mint Vintage #SportsCards #1 1995 #T…",2020-07-04 05:45:56,1,,926,1,0.5859
1,1279289427391647744,IAN,IanItrotter,"RT @talkSPORT: #Arsenal or #THFC... 

Which club is bigger? 🤔 https://t.co/i6RDw0xbIs",2020-07-04 05:42:22,985,,28,77,0.0
2,1279288770731421696,Takerluke #LevyOut,Takerluke,Guys when does the transfer window open? Like I know asking for spurs to do early business is like asking for a lot… https://t.co/GDnLdPFdXb,2020-07-04 05:39:45,0,Wishing Poch Would Return,429,896,0.6124
3,1279287516231684101,Long Chek Juan,longcjuan,"@AlasdairGold; at the next press conference, please ask Mourinho if he would like the rebuilding that Poch was advo… https://t.co/ZgykPu6yrN",2020-07-04 05:34:46,0,,2,14,0.5859
4,1279286907827105792,stewart robertson,furparka1886,"RT @talkSPORT: #Arsenal or #THFC... 

Which club is bigger? 🤔 https://t.co/i6RDw0xbIs",2020-07-04 05:32:21,985,"Motherwell, Scotland",50,151,0.0
5,1279286879825911809,AROO 🇳🇬🌎,tobi_aroo,"RT @talkSPORT: #Arsenal or #THFC... 

Which club is bigger? 🤔 https://t.co/i6RDw0xbIs",2020-07-04 05:32:14,985,🌍,1210,326,0.0
6,1279286855234699274,Mia Dixon,McDixon25,@DejounteMurray First spur with a decent edge up please share your barbers ingo with the team 😂😂 #Spurs,2020-07-04 05:32:08,0,"Panama City, FL",165,310,0.5423
7,1279286263061733376,Josh Lewis,J_koury22,"RT @MichaelBridge_: Great, this. Wilder’s reaction after. You can tell that really meant something. A few home truths yesterday &amp; reality c…",2020-07-04 05:29:47,49,N17,415,446,0.7845
