,twitter_id,username,screenname,text,created_at,retweet_count,location,followers,friends,polarity
0,1279290845066407937,Profit Booster UK,ProfitBoosterUK,"Jamie Vardy to Score - RISK FREE CHANCE

Bet £10 - If Vardy Scores &gt; £24.34 Return

Bet £10 - If Vardy Does Not &gt; £… https://t.co/xGHyqpQtwy",2020-07-04 05:48:00,0,,41808,9910,0.6037
1,1279290090154418176,ComeOnLeicester.com,Come0nLeicester,"That. Is. Sensational. 🚀

.@FuchsOfficial's first goal for the club against Crystal Palace! #LCFC https://t.co/P8EXwaYQyO",2020-07-04 05:45:00,0,"Leicester, England",10075,4961,0.0
2,1279290090099892224,Kevin Harper,kevshat,"We've previewed today's #PremierLeague matches here - https://t.co/G2f2e23fCu

#football #betting #tips #EPL… https://t.co/JJnef2CnIp",2020-07-04 05:45:00,0,Luton,1296,1429,0.0
3,1279289838450151424,Profit Booster UK,ProfitBoosterUK,"Leicester City v Crystal Palace 

Preview, Prediction &amp; Best Odds

Written by Mark Bolton

Here &gt;… https://t.co/qPBooBL97p",2020-07-04 05:44:00,0,,41808,9910,0.6369
4,1279288041140629505,Nas 🌍🦊,nas_pb,the day of truth has arrived let's see what we're made of #lcfc,2020-07-04 05:36:51,0,,811,1248,0.3182
